Day,Susceptible,Infectious,Hospitalized,ICU,Ward,Recovered,Death
0,10990.0,10.0,0,0,0,0,0
0.10,10989.688283636364,10.286779054545455,0.02493730909090909,0.0,0.0,0.0,0.0
0.20,10989.367636995285,10.567844497324842,0.048095309468111545,4.1495682327272735E-4,0.0016957370181818181,0.013929467012987015,3.8303706763636366E-4
0.30,10989.038238944073,10.844224231168253,0.06963762261820985,0.0012132867879493764,0.004968194046886131,0.040595940284036264,0.001121781021066557
0.40,10988.700236311697,11.116847310833705,0.08971407094647865,0.002366279272183296,0.009707634204039311,0.07893697814163485,0.0021914149044822604
0.50,10988.353746973211,11.386554339041446,0.10846181093076826,0.003847853416198495,0.01581298077809034,0.12800661958851745,0.0035694230342201727
0.60,10987.99886260998,11.654106786036595,0.12600637889616,0.005634334838580772,0.02319123044814505,0.18696326335050129,0.0052353964501167735
0.70,10987.63565117927,11.920195344436085,0.14246265546343714,0.007704250817514871,0.03175689914509054,0.2550588164391726,0.007170854429961791
0.80,10987.264159123262,12.185447419516962,0.15793575439759575,0.010038142495771632,0.041431499806803614,0.3316289797025298,0.009359080817880186
0.90,10986.88441334449,12.450433844708176,0.1725218412596151,0.012618392770396333,0.05214305111447503,0.4160845516516892,0.011784974005427256
1.00,10986.49642297181,12.715674902732399,0.18630888694813644,0.015429068624335393,0.06382561617058702,0.5079036442281804,0.014434909487174944
1.10,10986.100180938607,12.981645724495543,0.19937736090959704,0.018455776747798407,0.07641886998601845,0.6066247152645861,0.01729661399069832
1.20,10985.695665392625,13.248781130339633,0.21180086849728574,0.021685531382154108,0.08986769457880509,0.7118403323251974,0.020359050254269734
1.30,10985.282840954807,13.517479971569202,0.2236467366728779,0.025106633398795826,0.1041218004456511,0.8231915915129422,0.023612311594388043
1.40,10984.861659842763,13.788109024151822,0.2349765519690842,0.028708559699895393,0.1191353731454039,0.9403631228016426,0.027047525469683448
1.50,10984.432062872795,14.061006481107786,0.24584665436964115,0.0324818620975186,0.13486674372794666,1.063078620595028,0.03065676530792858
1.60,10983.993980353038,14.336485085277008,0.2563085905132813,0.03641807489243172,0.1512780817493924,1.191096844612241,0.03443296991904627
1.70,10983.547332878916,14.614834939825629,0.2664095293916582,0.04050963043432305,0.16833510963256038,1.3242080419312137,0.03836986986933027
1.80,10983.092032040979,14.89632602997779,0.27619264348741723,0.044749782001332034,0.18600683715832678,1.4622307461556232,0.04246192024078614
1.90,10982.627981054118,15.181210485983716,0.2856974580875326,0.04913253338895631,0.20426531490672928,1.6050089142703012,0.04670423924475287
2.00,10982.155075316248,15.469724614221246,0.2949601713083988,0.05365257464682354,0.22308540550511347,1.7524093658696724,0.05109255220097737
2.10,10981.673202903685,15.76209072053728,0.30401394718263103,0.058305223446696135,0.24244457158281907,1.904319493133931,0.05562314043227438
2.20,10981.182245009706,16.058518747434526,0.3128891839826864,0.06308637160664038,0.26232267937680265,2.0606452132329593,0.06029279466099959
2.30,10980.682076332101,16.359207744467312,0.32161375979281837,0.06799243633474733,0.2827018169792585,2.22130913779851,0.06509877252697366
2.40,10980.17256541492,16.66434718920144,0.33021325718804684,0.07302031579134388,0.3035661262659496,2.386248936756827,0.07003875987739135
2.50,10979.653574949081,16.974118174292443,0.3387111687362638,0.0781673486014704,0.3249016475919593,2.5554158761888317,0.07511083550779975
2.60,10979.124962036029,17.28869447462319,0.3471290849067983,0.08343127697971102,0.34669617638940275,2.728773512012089,0.08031343905958876
2.70,10978.586578418164,17.60824350699548,0.35548686584521894,0.08881021315741866,0.368939130848858,2.9062965231838027,0.08564534180375719
2.80,10978.038270679432,17.9329271935743,0.3638027983593522,0.09430260882814301,0.3916214299125629,3.087969669830225,0.09110562006313974
2.90,10977.479880419038,18.262902739121763,0.3720937393549416,0.09990722735080386,0.4147353808525015,3.273786863235833,0.0966936310459394
3.00,10976.911244401024,18.598323331016715,0.38037524686057383,0.1056231184719996,0.4382745757501578,3.4637503359939883,0.1024089908824313
3.10,10976.332194682082,18.939338770123022,0.3886616996899811,0.1114495953489405,0.46223379623681216,3.657869901846206,0.10825155467420972
3.20,10975.74255871978,19.28609603973333,0.39696640670513533,0.1173862136729773,0.4866089258936569,3.856162295834532,0.11422139838144782
3.30,10975.142159463147,19.638739819065545,0.4053017065652369,0.12343275271067944,0.511396869749666,4.058650586374199,0.1203188023884387
3.40,10974.530815427326,19.99741294711788,0.4136790587743493,0.12958919809501698,0.5365954803520036,4.265363651733688,0.12654423660128075
3.50,10973.908340753867,20.36225684208599,0.4221091267736379,0.13585572621352207,0.5622034899187913,4.476335714197268,0.13289834694405475
3.60,10973.274545258038,20.733411881006536,0.43060185376255283,0.1422326900534472,0.588220448117279,4.691605925890636,0.13938194313129784
3.70,10972.629234464412,21.111017743807736,0.43916653187649557,0.14872060637599205,0.61464666504188,4.911218000882028,0.14599598760509067
3.80,10971.97220963182,21.49521372551423,0.4478118652961773,0.15532014410272174,0.6414831589961999,5.13521988873682,0.15274158553471365
3.90,10971.303267768706,21.886139019965093,0.45654602781570053,0.16203211380742766,0.6687316087111246,5.3636634852101155,0.15961997578566292
4.00,10970.622201639731,22.283932978055805,0.46537671535206354,0.16885745821595982,0.6963943096573095,5.596604376215237,0.16663252277291207
4.10,10969.928799764466,22.688735343202893,0.47431119383802095,0.17579724362505644,0.7244741341350754,5.834101611612068,0.17378070912071977
4.20,10969.222846408858,23.100686466450387,0.48335634290276447,0.18285265215897323,0.7529744948478361,6.076217505722623,0.18106612905807176
